"plant_id","gsw","disease_score"
"F1A_0_1",0.390691,4
"F1A_0_1",0.426157,4
"F1A_0_1",0.395731,4
"F1A_0_2",0.417941,4
"F1A_0_2",0.45235,4
"F1A_0_2",0.484288,4
"F1A_0_3",0.124708,4
"F1A_0_3",0.098626,4
"F1A_0_3",0.135645,4
"F1A_0_4",0.530878,4
"F1A_0_4",0.627688,4
"F1A_0_4",0.586249,4
"F1A_0_5",0.625932,4
"F1A_0_5",0.531699,4
"F1A_0_5",0.69945,4
"F1A_0_6",0.496465,4
"F1A_0_6",0.407414,4
"F1A_0_6",0.230025,4
"F1A_0_7",0.795406,4
"F1A_0_7",0.677311,4
"F1A_0_7",0.662424,4
"F1A_0_8",0.129092,4
"F1A_0_8",0.374265,4
"F1A_0_8",0.256232,4
"F1A_0_9",0.9131,4
"F1A_0_9",0.785516,4
"F1A_0_9",0.821268,4
"F1A_1_10",1.030846,4
"F1A_1_10",0.691234,4
"F1A_1_10",0.757938,4
"F1A_1_11",0.224463,4
"F1A_1_11",0.206717,4
"F1A_1_11",0.208008,4
"F1A_1_12",0.680174,4
"F1A_1_12",0.734491,4
"F1A_1_12",0.670709,4
"F1A_1_3",0.685012,4
"F1A_1_3",0.661116,4
"F1A_1_3",0.744638,4
"F1A_1_4",0.270084,4
"F1A_1_4",0.35012,4
"F1A_1_4",0.329406,4
"F1A_1_5",0.352771,4
"F1A_1_5",0.412866,4
"F1A_1_5",0.334923,4
"F1A_1_7",1.021266,4
"F1A_1_7",0.919864,4
"F1A_1_7",1.10643,4
"F1A_1_8",0.398876,4
"F1A_1_8",0.355043,4
"F1A_1_8",0.348626,4
"F1A_10_10",0.451447,4
"F1A_10_10",0.792112,4
"F1A_10_10",0.415759,4
"F1A_10_10",0.778035,4
"F1A_10_10",0.36823,4
"F1A_10_10",0.843442,4
"F1A_10_11",0.387538,4
"F1A_10_11",0.387648,4
"F1A_10_11",0.230835,4
"F1A_10_11",0.36462,4
"F1A_10_11",0.358572,4
"F1A_10_11",0.429722,4
"F1A_10_12",0.684914,4
"F1A_10_12",0.583356,4
"F1A_10_12",0.622172,4
"F1A_10_2",0.397399,4
"F1A_10_2",0.400094,4
"F1A_10_2",0.39041,4
"F1A_10_2",0.521551,4
"F1A_10_2",0.437513,4
"F1A_10_2",0.423555,4
"F1A_10_3",0.839869,4
"F1A_10_3",0.843274,4
"F1A_10_3",0.861979,4
"F1A_10_3",0.723697,4
"F1A_10_3",0.69777,4
"F1A_10_3",0.768213,4
"F1A_10_6",0.344295,3
"F1A_10_6",0.352695,3
"F1A_10_6",0.348074,3
"F1A_10_9",0.739568,4
"F1A_10_9",0.663599,4
"F1A_10_9",0.65054,4
"F1A_11_10",0.205822,4
"F1A_11_10",0.515271,4
"F1A_11_10",1.14899,4
"F1A_11_10",0.680897,4
"F1A_11_11",0.201184,4
"F1A_11_11",0.195834,4
"F1A_11_11",0.198444,4
"F1A_11_2",0.610929,4
"F1A_11_2",0.620757,4
"F1A_11_2",0.477124,4
"F1A_11_3",0.482957,4
"F1A_11_3",0.368816,4
"F1A_11_3",0.322631,4
"F1A_12_1",0.140006,4
"F1A_12_1",0.075248,4
"F1A_12_1",0.092159,4
"F1A_12_1",0.098475,4
"F1A_12_1",0.144055,4
"F1A_12_10",0.412291,4
"F1A_12_10",0.52534,4
"F1A_12_10",0.535254,4
"F1A_12_11",0.541815,4
"F1A_12_11",0.347945,4
"F1A_12_11",0.422841,4
"F1A_12_12",0.177412,4
"F1A_12_12",0.169328,4
"F1A_12_12",0.120512,4
"F1A_12_3",0.248373,4
"F1A_12_3",0.268453,4
"F1A_12_3",0.405328,4
"F1A_12_6",0.390071,4
"F1A_12_6",0.38273,4
"F1A_12_6",0.33783,4
"F1A_12_7",0.339558,4
"F1A_12_7",0.350439,4
"F1A_12_7",0.309014,4
"F1A_12_8",0.294536,4
"F1A_12_8",0.20215,4
"F1A_12_8",0.13656,4
"F1A_12_9",0.452831,4
"F1A_12_9",0.503513,4
"F1A_12_9",0.541365,4
"F1A_13_10",0.41162,4
"F1A_13_10",0.344581,4
"F1A_13_10",0.157474,4
"F1A_13_11",0.369423,4
"F1A_13_11",0.308412,4
"F1A_13_11",0.282083,4
"F1A_13_12",0.849141,4
"F1A_13_12",0.600377,4
"F1A_13_12",0.748901,4
"F1A_13_2",0.849155,4
"F1A_13_2",0.815671,4
"F1A_13_2",0.723735,4
"F1A_13_3",0.255412,4
"F1A_13_3",0.251179,4
"F1A_13_3",0.317124,4
"F1A_13_4",0.867837,2
"F1A_13_4",0.413466,2
"F1A_13_4",0.791954,2
"F1A_13_5",0.483591,4
"F1A_13_5",0.497047,4
"F1A_13_5",0.379464,4
"F1A_13_6",0.878154,4
"F1A_13_6",0.751524,4
"F1A_13_6",0.744882,4
"F1A_13_7",0.578056,4
"F1A_13_7",0.467286,4
"F1A_13_7",0.525176,4
"F1A_13_8",0.634685,4
"F1A_13_8",0.702085,4
"F1A_13_8",0.699088,4
"F1A_13_9",0.390447,4
"F1A_13_9",0.354483,4
"F1A_13_9",0.256281,4
"F1A_2_1",0.852231,4
"F1A_2_1",1.047897,4
"F1A_2_1",0.737212,4
"F1A_2_10",0.483805,4
"F1A_2_10",0.362291,4
"F1A_2_10",0.195073,4
"F1A_2_11",0.673171,4
"F1A_2_11",0.734245,4
"F1A_2_11",0.858891,4
"F1A_2_12",0.676489,4
"F1A_2_12",0.568345,4
"F1A_2_12",0.618632,4
"F1A_2_2",0.035387,4
"F1A_2_2",0.033721,4
"F1A_2_2",0.24066,4
"F1A_2_2",0.285644,4
"F1A_2_2",0.051498,4
"F1A_2_2",0.124735,4
"F1A_2_2",0.119534,4
"F1A_2_4",0.422941,4
"F1A_2_4",0.344359,4
"F1A_2_4",0.549998,4
"F1A_2_5",0.999154,4
"F1A_2_5",0.896297,4
"F1A_2_5",0.983105,4
"F1A_2_7",0.294436,4
"F1A_2_7",0.299333,4
"F1A_2_7",0.259584,4
"F1A_2_9",0.694776,4
"F1A_2_9",0.695397,4
"F1A_2_9",0.658534,4
"F1A_3_1",0.815834,4
"F1A_3_1",0.781218,4
"F1A_3_1",0.659597,4
"F1A_3_10",0.498515,4
"F1A_3_10",0.538992,4
"F1A_3_10",0.557779,4
"F1A_3_11",0.620648,3
"F1A_3_11",0.49005,3
"F1A_3_11",0.427523,3
"F1A_3_12",0.921273,4
"F1A_3_12",0.786289,4
"F1A_3_12",0.846893,4
"F1A_3_2",0.696295,4
"F1A_3_2",0.885207,4
"F1A_3_2",0.758662,4
"F1A_3_3",0.853386,4
"F1A_3_3",0.91956,4
"F1A_3_3",1.003824,4
"F1A_3_4",0.135695,4
"F1A_3_4",0.114712,4
"F1A_3_4",0.122316,4
"F1A_3_5",0.592556,4
"F1A_3_5",0.681952,4
"F1A_3_5",0.488731,4
"F1A_3_6",0.424842,4
"F1A_3_6",0.28608,4
"F1A_3_6",0.299756,4
"F1A_3_7",0.645373,4
